title,company,location,job_type,experience_level,skills,posting_date,application_link,scraped_at
Senior Software Testing Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt",Full Time,· 4+ Yrs of Exp,"['· Quality Control', 'Software Testing', '· Information Technology (IT)', '· Computer Science', '· QC', '· Security Testing', '· Automated Testing', '· QA', '· IT/Software Development', '· Engineering - Telecom/Technology']",15 hours ago,https://wuzzuf.net/jobs/p/tfi2c35rk8do-senior-software-testing-engineer-nahdet-misr-publishing-group-giza-egypt,2025-08-26 01:17:39
Software QA Engineer,IKEN Technology -,"Maadi, Cairo, Egypt",Full Time,· 2 - 3 Yrs of Exp,"['· Computer Science', 'Software Testing', '· Quality Assurance', '· Quality Control', '· Testing', '· API Testing', '· Team Leadership', 'Software QA Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",7 days ago,https://wuzzuf.net/jobs/p/w7cjun587gup-software-qa-engineer-iken-technology-cairo-egypt,2025-08-26 01:17:40
Software Engineer Instructor,Pyramakerz -,"Basatin, Cairo, Egypt",Full Time,· 2 - 3 Yrs of Exp,"['· Instructor', 'Software Engineering', '· AI', '· Robotics', '· Mobile Development', '· Computer Science', '· Roblox Studio', 'Software Engineer Instructor', '· Engineering - Telecom/Technology', '· Education/Teaching', '· Training/Instructor']",8 days ago,https://wuzzuf.net/jobs/p/xfsp9hjzsqox-software-engineer-instructor-pyramakerz-cairo-egypt,2025-08-26 01:17:40
Software Architect Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt",Full Time,· 8 - 12 Yrs of Exp,"['· .Net', '· Architecture', '· AWS', '· Azure', 'Computer Engineering', '· Cloud', '· Computer Science', '· DevOps', 'Software Architect Engineer', '· IT/Software Development', '· Engineering - Telecom/Technology']",5 days ago,https://wuzzuf.net/jobs/p/i0ewjtqdxjmb-software-architect-engineer-nahdet-misr-publishing-group-giza-egypt,2025-08-26 01:17:40
Software Engineer,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt",Full Time,· 1 - 2 Yrs of Exp,"['· JavaScript', 'Java Software Development', 'Software Development', '· Java', 'Engineering', '· developer', 'Software Engineer', '· IT/Software Development']",Not specified,https://wuzzuf.net/jobs/p/jdleiv5w9lij-software-engineer-masria-digital-payment-mdp-cairo-egypt,2025-08-26 01:17:40
Software Engineer,GLC Paints -,"Obour City, Cairo, Egypt",Full Time,· 3 - 5 Yrs of Exp,"['Software Development', '· Programming (Java, C#, Python, JavaScript)', '· Database Management (SQL)', '· Problem Solving', '· Agile Methodologies', '· Version Control (Git)', '· System Integration', 'Software Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",5 days ago,https://wuzzuf.net/jobs/p/pu7gywc3m31k-software-engineer-glc-paints-cairo-egypt,2025-08-26 01:17:40
Software Engineer,Arabian Data -,"Nasr City, Cairo, Egypt",Full Time,· 2+ Yrs of Exp,"['Software Development', 'Data Engineering', '· Python', '· Machine Learning', '· ETL Processes', '· Front-End Development', '· front-end web development', '· Back-End Development', 'Software Engineer', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/tyn8ftlbyfyx-software-engineer-arabian-data-cairo-egypt,2025-08-26 01:17:40
Software Quality Control Engineer,Meem Development -,"Alexandria, Egypt",Internship,Entry Level,"['· Communication', '· Teamwork', '· Troubleshooting', 'Software Quality Control Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",1 day ago,https://wuzzuf.net/internship/ew6zscxtwex1-software-quality-control-engineer-meem-development-alexandria-egypt,2025-08-26 01:17:41
Senior Software Quality Assurance (QA) Engineer,Exab -,"Cairo, Egypt",Full Time,· 5 - 10 Yrs of Exp,"['· Selenium', '· Appium', '· Postman', '· Azure DevOps Server', '· ISTQB', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",2 days ago,https://wuzzuf.net/jobs/p/qcujm1zfxnby-senior-software-quality-assurance-qa-engineer-exab-cairo-egypt,2025-08-26 01:17:41
Software Quality Engineer,LavaLoon -,"Nasr City, Cairo, Egypt",Full Time,· 1 - 3 Yrs of Exp,"['· DevOps', '· English', '· ERP', '· Computer Science', '· API', '· Information Technology (IT)', '· ISTQB', 'Software', 'Software Quality Engineer', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/ioufuqvechna-software-quality-engineer-lavaloon-cairo-egypt,2025-08-26 01:17:41
Senior Software Testing Engineer,Bevatel -,"Dokki, Giza, Egypt",Full Time,· 3 - 5 Yrs of Exp,"['Software Testing', '· Cloud Technologies', '· Test Planning', '· Analytical Thinking', '· Team Leadership', '· Agile Methodologies', '· Test Automation', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/xcjx33onekhu-senior-software-testing-engineer-bevatel-giza-egypt,2025-08-26 01:17:41
Senior Software Engineer,Chubb life Insurance -,"Katameya, Cairo, Egypt",Full Time,· 4 - 6 Yrs of Exp,"['· collaboration abilities', '· Communication', '· analytical skills', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/ozw84xgvvluk-senior-software-engineer-chubb-life-insurance-cairo-egypt,2025-08-26 01:17:41
Software Engineer,Code SA -,"Cambridge, United Kingdom",Full Time,· 6+ Yrs of Exp,"['· Python', '· Amazon AWS', '· Django', '· React', '· PostgreSQL', '· FastAPI', '· Cloud', '· AWS', '· Azure', 'Software Engineer', '· IT/Software Development']",Not specified,https://wuzzuf.net/jobs/p/1hryqwqwufa5-software-engineer-code-sa-cambridge-united-kingdom,2025-08-26 01:17:41
Software Engineer,Nodens Health -,"Cairo, Egypt",Full Time,· 1 - 3 Yrs of Exp,"['· Computer Science', '· JavaScript', '· Node.js', 'Software Engineer', '· R&D/Science', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/3sixhqzszmm3-software-engineer-nodens-health-cairo-egypt,2025-08-26 01:17:41
Software Quality Assurance Engineer,ISTQSERVERS -,"Cairo, Egypt",Full Time,· 0 - 1 Yrs of Exp,"['· Information Technology (IT)', '· Quality Assurance', '· Development', 'Software Quality Assurance Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/ngkg9ql0vgxd-software-quality-assurance-engineer-istqservers-cairo-egypt,2025-08-26 01:17:41
Senior Software Engineer,iDen2 -,"San Francisco, United States",Full Time,· 3 - 7 Yrs of Exp,"['· APIs', '· Node.js', '· PostgreSQL', 'Software Engineering', '· Microservices', '· AWS', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/qr7drsbemmgf-senior-software-engineer-iden2-san-francisco-united-states,2025-08-26 01:17:49
Senior Software Engineer (PHP Expert),Zeidex -,"Maadi, Cairo, Egypt",Full Time,Experienced,"['· php', '· Microservice Architecture', '· MySQL', 'Software Development', '· Security', '· Redis', '· Team Leadership', '· Scrum', '· IT/Software Development', '· Tourism/Travel']",Not specified,https://wuzzuf.net/jobs/p/ixit1efhmwlm-senior-software-engineer-php-expert-zeidex-cairo-egypt,2025-08-26 01:17:49
Senior Software Technical Support Engineer,GET Group- Egypt -,"Sheraton, Cairo, Egypt",Full Time,· 4 - 7 Yrs of Exp,"['Engineering', '· Computer Science', '· Linux', '· Microsoft SQL Server', 'Software', 'Software Development', '· Information Technology (IT)', '· Installation/Maintenance/Repair', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/cbqjfrmn8rdt-senior-software-technical-support-engineer-get-group-egypt-cairo-egypt,2025-08-26 01:17:49
